Label,Filename,Path,Size_bytes,Size,Creation_VN,LastWrite_VN,SHA256
original_sysdiagnose,sysdiagnose_2025.09.20_19-22-15+0700_iPhone-OS_iPhone_22F76.tar.gz,C:\\evidence\\sysdiagnose_2025.09.20_19-22-15+0700_iPhone-OS_iPhone_22F76.tar.gz,8123732,7.75 MB,2025-09-20 19:47:57 +07:00,2025-09-20 19:36:19 +07:00,A2A57847A1792F7A839F862481AE3744404FAB4FDC3DAFFA8F833C7F125F2EB7
evidence_7z_archive,2025-09-20-Tamper-File.7z,C:\\Users\\Administrator\\Desktop\\2025-09-20-Tamper-File.7z,8123981,7.74 MB,2025-09-20 19:59:30 +07:00,2025-09-20 19:59:30 +07:00,21551F89DDCC05AE2EF952C26F2339381268C8C1B9549EFF0150E8CF646B15A0
